"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SI.POV.GINI","Poverty: Income distribution","GINI index (World Bank estimate)","","Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.","%","Annual","","","","Gini coefficients are not unique. It is possible for two different Lorenz curves to give rise to the same Gini coefficient. Furthermore it is possible for the Gini coefficient of a developing country to rise (due to increasing inequality of income) while the number of people in absolute poverty decreases. This is because the Gini coefficient measures relative, not absolute, wealth.

Another limitation of the Gini coefficient is that it is not additive across groups, i.e. the total Gini of a society is not equal to the sum of the Gini's for its sub-groups. Thus, country-level Gini coefficients cannot be aggregated into regional or global Gini's, although a Gini coefficient can be computed for the aggregate.

Because the underlying household surveys differ in methods and types of welfare measures collected, data are not strictly comparable across countries or even across years within a country. Two sources of non-comparability should be noted for distributions of income in particular. First, the surveys can differ in many respects, including whether they use income or consumption expenditure as the living standard indicator. The distribution of income is typically more unequal than the distribution of consumption. In addition, the definitions of income used differ more often among surveys. Consumption is usually a much better welfare indicator, particularly in developing countries. Second, households differ in size (number of members) and in the extent of income sharing among members. And individuals differ in age and consumption needs. Differences among countries in these respects may bias comparisons of distribution. 

World Bank staff have made an effort to ensure that the data are as comparable as possible. Wherever possible, consumption has been used rather than income. Income distribution and Gini indexes for high-income economies are calculated directly from the Luxembourg Income Study database, using an estimation method consistent with that applied for developing countries.","","The World Bank’s internationally comparable poverty monitoring database now draws on income or detailed consumption data from more than one thousand six hundred household surveys across 164 countries in six regions and 25 other high income countries (industrialized economies). While income distribution data are published for all countries with data available, poverty data are published for low- and middle-income countries and countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia) only. See PovcalNet (http://iresearch.worldbank.org/PovcalNet/WhatIsNew.aspx) for definitions of geographical regions and industrialized countries.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","","","","","","CC BY-4.0",
"SL.AGR.EMPL.FE.ZS","Social Protection & Labor: Economic activity","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectorsdata.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.AGR.EMPL.MA.ZS","Social Protection & Labor: Economic activity","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectorsdata.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.AGR.EMPL.ZS","Social Protection & Labor: Economic activity","Employment in agriculture (% of total employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The agriculture sector consists of activities in agriculture, hunting, forestry and fishing, in accordance with division 1 (ISIC 2) or categories A-B (ISIC 3) or category A (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectorsdata.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.MPYR.FE.ZS","Social Protection & Labor: Economic activity","Employers, female (% of female employment) (modeled ILO estimate)","","Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.MPYR.MA.ZS","Social Protection & Labor: Economic activity","Employers, male (% of male employment) (modeled ILO estimate)","","Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.MPYR.ZS","Social Protection & Labor: Economic activity","Employers, total (% of total employment) (modeled ILO estimate)","","Employers are those workers who, working on their own account or with one or a few partners, hold the type of jobs defined as a ""self-employment jobs"" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced), and, in this capacity, have engaged, on a continuous basis, one or more persons to work for them as employee(s).","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.OWAC.FE.ZS","Social Protection & Labor: Economic activity","Own-account workers, female (% of female employment) (modeled ILO estimate)","","Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.OWAC.MA.ZS","Social Protection & Labor: Economic activity","Own-account workers, male (% of male employment) (modeled ILO estimate)","","Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.OWAC.ZS","Social Protection & Labor: Economic activity","Own-account workers, total (% of total employment) (modeled ILO estimate)","","Own-account workers are workers who, working on their own account or with one or more more partners, hold the types of jobs defined as ""self-employment jobs"" and have not engaged on a continuous basis any employees to work for them. Own account workers are a subcategory of ""self-employed"".","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.SELF.FE.ZS","Social Protection & Labor: Economic activity","Self-employed, female (% of female employment) (modeled ILO estimate)","","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs."" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.SELF.MA.ZS","Social Protection & Labor: Economic activity","Self-employed, male (% of male employment) (modeled ILO estimate)","","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs."" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.SELF.ZS","Social Protection & Labor: Economic activity","Self-employed, total (% of total employment) (modeled ILO estimate)","","Self-employed workers are those workers who, working on their own account or with one or a few partners or in cooperative, hold the type of jobs defined as a ""self-employment jobs."" i.e. jobs where the remuneration is directly dependent upon the profits derived from the goods and services produced. Self-employed workers include four sub-categories of employers, own-account workers, members of producers' cooperatives, and contributing family workers.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.TOTL","Social Protection & Labor: Economic activity","Total employment, total (ages 15+)","","Total employment shows the total number employed ages 15 and over.","","Annual","","","Sum","","","","International Labour Organization, ILOSTAT database, using World Bank population estimates. Labor data retrieved in March 2017.","","","","","","CC BY-4.0",
"SL.EMP.VULN.FE.ZS","Social Protection & Labor: Economic activity","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","","Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","Derived using data from International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.VULN.MA.ZS","Social Protection & Labor: Economic activity","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","","Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","Derived using data from International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.VULN.ZS","Social Protection & Labor: Economic activity","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","","Vulnerable employment is contributing family workers and own-account workers as a percentage of total employment.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","Derived using data from International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.WORK.FE.ZS","Social Protection & Labor: Economic activity","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.WORK.MA.ZS","Social Protection & Labor: Economic activity","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.EMP.WORK.ZS","Social Protection & Labor: Economic activity","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","","Wage and salaried workers (employees) are those workers who hold the type of jobs defined as ""paid employment jobs,"" where the incumbents hold explicit (written or oral) or implicit employment contracts that give them a basic remuneration that is not directly dependent upon the revenue of the unit for which they work.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.FAM.WORK.FE.ZS","Social Protection & Labor: Economic activity","Contributing family workers, female (% of female employment) (modeled ILO estimate)","","Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.FAM.WORK.MA.ZS","Social Protection & Labor: Economic activity","Contributing family workers, male (% of male employment) (modeled ILO estimate)","","Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.FAM.WORK.ZS","Social Protection & Labor: Economic activity","Contributing family workers, total (% of total employment) (modeled ILO estimate)","","Contributing family workers are those workers who hold ""self-employment jobs"" as own-account workers in a market-oriented establishment operated by a related person living in the same household.","","Annual","","","Weighted average","Data are drawn from labor force surveys and household surveys, supplemented by official estimates and censuses for a small group of countries. Due to differences in definitions and coverage across countries, there are limitations for comparing data across countries and over time even within a country. Estimates of women in employment are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.GDP.PCAP.EM.KD","Social Protection & Labor: Economic activity","GDP per person employed (constant 2011 PPP $)","","GDP per person employed is gross domestic product (GDP) divided by total employment in the economy. Purchasing power parity (PPP) GDP is GDP converted to 2011 constant international dollars using PPP rates. An international dollar has the same purchasing power over GDP that a U.S. dollar has in the United States.","","Annual","2011","","Weighted average","For comparability of individual sectors labor productivity is estimated according to national accounts conventions. However, there are still significant limitations on the availability of reliable data. Information on consistent series of output in both national currencies and purchasing power parity dollars is not easily available, especially in developing countries, because the definition, coverage, and methodology are not always consistent across countries. For example, countries employ different methodologies for estimating the missing values for the nonmarket service sectors and use different definitions of the informal sector.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.IND.EMPL.FE.ZS","Social Protection & Labor: Economic activity","Employment in industry, female (% of female employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectors data.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.IND.EMPL.MA.ZS","Social Protection & Labor: Economic activity","Employment in industry, male (% of male employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectors data.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
"SL.IND.EMPL.ZS","Social Protection & Labor: Economic activity","Employment in industry (% of total employment) (modeled ILO estimate)","","Employment is defined as persons of working age who were engaged in any activity to produce goods or provide services for pay or profit, whether at work during the reference period or not at work due to temporary absence from a job, or to working-time arrangement. The industry sector consists of mining and quarrying, manufacturing, construction, and public utilities (electricity, gas, and water), in accordance with divisions 2-5 (ISIC 2) or categories C-F (ISIC 3) or categories B-F (ISIC 4).","","Annual","","","Weighted average","There are many differences in how countries define and measure employment status, particularly members of the armed forces, self-employed workers, and unpaid family workers. Where members of the armed forces are included, they are allocated to the service sector, causing that sector to be somewhat overstated relative to the service sector in economies where they are excluded. Where data are obtained from establishment surveys, data cover only employees; thus self-employed and unpaid family workers are excluded. In such cases the employment share of the agricultural sector is severely underreported. Caution should be also used where the data refer only to urban areas, which record little or no agricultural work. Moreover, the age group and area covered could differ by country or change over time within a country. For detailed information, consult the original source.

Countries also take different approaches to the treatment of unemployed people. In most countries unemployed people with previous job experience are classified according to their last job. But in some countries the unemployed and people seeking their first job are not classifiable by economic activity. Because of these differences, the size and distribution of employment by economic activity may not be fully comparable across countries.

The ILO reports data by major divisions of the ISIC revision 2, revision 3, or revision 4. Broad classification such as employment by agriculture, industry, and services may obscure fundamental shifts within countries' industrial patterns. A slight majority of countries report economic activity according to the ISIC revision 3 instead of revision 2 or revision 4. The use of one classification or the other should not have a significant impact on the information for the employment of the three broad sectors data.","","Data up to 2016 are estimates while data from 2017 are projections.","International Labour Organization, ILOSTAT database. Data retrieved in September 2018.","","","","","","CC BY-4.0",
